2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,2012-2013,,,2013-2014,,,2014-2015,,,2015-2016,,,2016-2017,,,
State,Medical School,Men,Women,All,Men,Women,All,Men,Women,All,Men,Women,All,Men,Women,All,
TN,East Tennessee-Quillen,156,128,284,160,130,290,169,122,291,171,120,291,166,125,291,
,Meharry,201,264,465,210,273,483,206,268,474,216,269,485,219,244,463,
,Tennessee,413,251,664,402,266,668,405,265,670,404,273,677,401,278,679,
,Vanderbilt,245,255,500,246,239,485,257,222,479,261,190,451,248,188,436,
TX,Baylor,448,378,826,447,367,814,435,381,816,427,390,817,423,393,816,
,Houston,,,,,,,,,,,,,,,,
,TCU UNTHSC,,,,,,,,,,,,,,,,
,Texas A & M,390,341,731,398,391,789,426,394,820,430,393,823,419,383,802,
,Texas Tech,333,263,596,338,257,595,359,281,640,390,289,679,386,318,704,
,Texas Tech-Foster,132,126,258,179,136,315,194,168,362,220,167,387,234,177,411,
,UT Austin-Dell,,,,,,,,,,,,,27,23,50,
,UT Houston-McGovern,582,411,993,570,424,994,568,430,998,578,434,"1,012",541,467,"1,008",
,UT Medical Branch,520,430,950,525,426,951,544,422,966,557,409,966,547,422,969,
,UT Rio Grande Valley,,,,,,,,,,,,,27,27,54,
,UT San Antonio-Long,478,443,921,465,435,900,465,419,884,483,402,885,475,409,884,
,UT Southwestern,528,479,"1,007",557,458,"1,015",553,460,"1,013",547,458,"1,005",540,456,996,
UT,Utah,230,117,347,227,146,373,224,172,396,246,187,433,261,211,472,
VA,Eastern Virginia,299,230,529,310,245,555,322,253,575,334,250,584,342,256,598,
,Virginia,362,283,645,375,282,657,359,305,664,353,303,656,352,303,655,
,Virginia Commonwealth,455,383,838,463,385,848,457,410,867,478,402,880,485,426,911,
,Virginia Tech Carilion,80,46,126,104,63,167,95,72,167,100,69,169,98,70,168,
VT,Vermont-Larner,236,227,463,242,227,469,235,236,471,235,234,469,238,240,478,
WA,U Washington,450,521,971,459,523,982,466,535,"1,001",474,550,"1,024",500,589,"1,089",
,Washington State-Floyd,,,,,,,,,,,,,,,,
WI,MC Wisconsin,469,371,840,464,377,841,476,372,848,490,390,880,520,412,932,
,Wisconsin,386,366,752,400,353,753,387,366,753,392,379,771,389,380,769,
WV,Marshall-Edwards,179,111,290,186,101,287,186,110,296,190,110,300,193,121,314,
,West Virginia,267,170,437,241,181,422,242,201,443,229,213,442,232,224,456,
Total Enrollment,,"43,565","38,368","81,933","44,460","38,893","83,353","45,299","39,825","85,124","46,016","40,571","86,587","46,147","42,034","88,181",
"Note: Students who declined to report sex are only reflected in the All column. Therefore, the counts for men and women may not sum to the counts shown in the All column.",,,,,,,,,,,,,,,,,
